12/16/14-10:52:46	---INITIALIZING POD SYSTEM---

12/16/14-10:57:28	id: 1
12/16/14-10:57:28	run: False
12/16/14-10:57:28	loc: station_1
12/16/14-10:57:28	spd: 0
12/16/14-10:57:28	prx: 0

12/16/14-10:57:30	id: 1
12/16/14-10:57:30	run: False
12/16/14-10:57:30	loc: station_1
12/16/14-10:57:30	spd: 0
12/16/14-10:57:30	prx: 0

12/16/14-10:57:32	id: 1
12/16/14-10:57:32	run: False
12/16/14-10:57:32	loc: station_1
12/16/14-10:57:32	spd: 0
12/16/14-10:57:32	prx: 0

12/16/14-10:57:34	id: 1
12/16/14-10:57:34	run: False
12/16/14-10:57:34	loc: station_1
12/16/14-10:57:34	spd: 0
12/16/14-10:57:34	prx: 0

12/16/14-10:57:36	id: 1
12/16/14-10:57:36	run: False
12/16/14-10:57:36	loc: station_1
12/16/14-10:57:36	spd: 0
12/16/14-10:57:36	prx: 0

12/16/14-10:57:38	id: 1
12/16/14-10:57:38	run: False
12/16/14-10:57:38	loc: station_1
12/16/14-10:57:38	spd: 0
12/16/14-10:57:38	prx: 0

12/16/14-10:57:40	id: 1
12/16/14-10:57:40	run: False
12/16/14-10:57:40	loc: station_1
12/16/14-10:57:40	spd: 0
12/16/14-10:57:40	prx: 0

12/16/14-10:57:42	id: 1
12/16/14-10:57:42	run: False
12/16/14-10:57:42	loc: station_1
12/16/14-10:57:42	spd: 0
12/16/14-10:57:42	prx: 0

12/16/14-10:57:44	id: 1
12/16/14-10:57:44	run: False
12/16/14-10:57:44	loc: station_1
12/16/14-10:57:44	spd: 0
12/16/14-10:57:44	prx: 0

12/16/14-10:57:46	id: 1
12/16/14-10:57:46	run: False
12/16/14-10:57:46	loc: station_1
12/16/14-10:57:46	spd: 0
12/16/14-10:57:46	prx: 0

12/16/14-10:57:48	id: 1
12/16/14-10:57:48	run: False
12/16/14-10:57:48	loc: station_1
12/16/14-10:57:48	spd: 0
12/16/14-10:57:48	prx: 0

12/16/14-10:57:50	id: 1
12/16/14-10:57:50	run: False
12/16/14-10:57:50	loc: station_1
12/16/14-10:57:50	spd: 0
12/16/14-10:57:50	prx: 0

12/16/14-10:57:52	id: 1
12/16/14-10:57:52	run: False
12/16/14-10:57:52	loc: station_1
12/16/14-10:57:52	spd: 0
12/16/14-10:57:52	prx: 0

12/16/14-10:57:54	id: 1
12/16/14-10:57:54	run: False
12/16/14-10:57:54	loc: station_1
12/16/14-10:57:54	spd: 0
12/16/14-10:57:54	prx: 0

12/16/14-10:57:56	id: 1
12/16/14-10:57:56	run: False
12/16/14-10:57:56	loc: station_1
12/16/14-10:57:56	spd: 0
12/16/14-10:57:56	prx: 0

12/16/14-10:57:58	id: 1
12/16/14-10:57:58	run: False
12/16/14-10:57:58	loc: station_1
12/16/14-10:57:58	spd: 0
12/16/14-10:57:58	prx: 0

12/16/14-10:58:00	id: 1
12/16/14-10:58:00	run: False
12/16/14-10:58:00	loc: station_1
12/16/14-10:58:00	spd: 0
12/16/14-10:58:00	prx: 0

12/16/14-10:58:02	id: 1
12/16/14-10:58:02	run: False
12/16/14-10:58:02	loc: station_1
12/16/14-10:58:02	spd: 0
12/16/14-10:58:02	prx: 0

12/16/14-10:58:04	id: 1
12/16/14-10:58:04	run: False
12/16/14-10:58:04	loc: station_1
12/16/14-10:58:04	spd: 0
12/16/14-10:58:04	prx: 0

12/16/14-10:58:06	id: 1
12/16/14-10:58:06	run: False
12/16/14-10:58:06	loc: station_1
12/16/14-10:58:06	spd: 0
12/16/14-10:58:06	prx: 0

12/16/14-10:58:08	id: 1
12/16/14-10:58:08	run: False
12/16/14-10:58:08	loc: station_1
12/16/14-10:58:08	spd: 0
12/16/14-10:58:08	prx: 0

12/16/14-10:58:10	id: 1
12/16/14-10:58:10	run: False
12/16/14-10:58:10	loc: station_1
12/16/14-10:58:10	spd: 0
12/16/14-10:58:10	prx: 0

12/16/14-10:58:12	id: 1
12/16/14-10:58:12	run: False
12/16/14-10:58:12	loc: station_1
